"iso 3","country id","country","trade value export","trade value import","trade value delta","year"
"tha","astha","Thailand",185600,2065180,-1879580,1998
"tur","astur","Turkey",15507,1013173,-997666,1998
"twn","astwn","Chinese Taipei",3006964,12868588,-9861624,1998
"aut","euaut","Austria",11608158,6273517,5334641,1998
"blr","eublr","Belarus",5277,122447,-117170,1998
"blx","eublx","Belgium-Luxembourg",2991953,9042842,-6050889,1998
"che","euche","Switzerland",286372,3092186,-2805814,1998
"cze","eucze","Czechia",57319,1251280,-1193961,1998
"deu","eudeu","Germany",4573868,45032505,-40458637,1998
"dnk","eudnk","Denmark",29022,71561,-42539,1998
"esp","euesp","Spain",227077,3336401,-3109324,1998
"est","euest","Estonia",4946600,4220941,725659,1998
"fra","eufra","France",85078456,35875110,49203346,1998
"gbr","eugbr","United Kingdom",14185120,23527019,-9341899,1998
"hun","euhun","Hungary",389801,4009771,-3619970,1998
"irl","euirl","Ireland",534483,508522,25961,1998
"ita","euita","Italy",428642,6539168,-6110526,1998
"ltu","eultu","Lithuania",30622,280917,-250295,1998
"lva","eulva","Latvia",22568,4301,18267,1998
"nld","eunld","Netherlands",960415,19612343,-18651928,1998
"nor","eunor","Norway",18506545,902352,17604193,1998
"pol","eupol","Poland",30876,861422,-830546,1998
"rus","eurus","Russia",5737891,1271953,4465938,1998
"svk","eusvk","Slovakia",31699,333233,-301534,1998
"svn","eusvn","Slovenia",1137,76633,-75496,1998
"swe","euswe","Sweden",8422,469205,-460783,1998
"ukr","euukr","Ukraine",19163,59014,-39851,1998
"yug","euyug","Yugoslavia",8263,20741,-12478,1998
"can","nacan","Canada",1120922,6771817,-5650895,1998
"gtm","nagtm","Guatemala",41108,19192,21916,1998
"mex","namex","Mexico",91781,2193097,-2101316,1998
"usa","nausa","United States",51984978,102009169,-50024191,1998
"aus","ocaus","Australia",230267,1243710,-1013443,1998
"nzl","ocnzl","New Zealand",643,157591,-156948,1998
"arg","saarg","Argentina",1699,1126253,-1124554,1998
"chl","sachl","Chile",75707,69151,6556,1998
"per","saper","Peru",645,31229,-30584,1998
"ven","saven","Venezuela",2989,53270,-50281,1998
"zaf","afzaf","South Africa",159964,10132729,-9972765,1999
"are","asare","United Arab Emirates",73328,101644,-28316,1999
"chn","aschn","China",187207744,6428729,180779015,1999
"cyp","ascyp","Cyprus",2479,1082,1397,1999
"hkg","ashkg","Hong Kong",9171952,9676956,-505004,1999
"ind","asind","India",653283,2122359,-1469076,1999
"isr","asisr","Israel",19000,181944,-162944,1999
